Station Name,City,State,ZIP,Status Code,Expected Date,Owner Type Code,Geocode Status,Latitude,Longitude,Facility Type,Restricted Access
Seattle-Tacoma International Airport - General Parking,Seattle,WA,98188,E,,P,200-8,47.443377,-122.296229,AIRPORT,False
Caplan's Rainbow Parking,Seattle,WA,98104,T,2022-12-31,P,200-8,47.604115,-122.332907,PARKING_GARAGE,False
City of Seattle - Central Library,Seattle,WA,98104,E,,LG,200-9,47.606684,-122.332664,LIBRARY,False
City of Seattle - Seattle Center,Seattle,WA,98109,E,,LG,200-8,47.622085,-122.347124,MUNI_GOV,False
KING COUNTY DES KSC STATION #1,Seattle,WA,98104,E,,,GPS,47.598663,-122.331009,,
VIA6 VIA6-SOUTH,Seattle,WA,98121,E,,,GPS,47.613883,-122.339405,,
800 FIFTH AVE STATION 2,Seattle,WA,98104,E,,,GPS,47.605599,-122.330626,,
AMLI SLU AMLI SLU #1,Seattle,WA,98109,T,2023-04-26,,GPS,47.62313,-122.331442,,
UWMC 4245 UWMC 4245 #1,Seattle,WA,98105,E,,,GPS,47.658961,-122.3185,,
UWMC 4225 UWMC 4225 #1,Seattle,WA,98105,E,,,GPS,47.658409,-122.318392,,
BMW SEATTLE BMW SALES,Seattle,WA,98065,E,,,GPS,47.594042,-122.323977,,
525 NORTHGATE RETAIL #1,Seattle,WA,98125,E,,,GPS,47.707951,-122.321496,,
VM CHARGERS VIRGINIA MASON2,Seattle,WA,98101,E,,,GPS,47.609528,-122.326393,,
INSIGNIA 953 EV216,Seattle,WA,98121,E,,,GPS,47.616552,-122.342727,,
MADISON GARAGE MADISON GARAGE2,Seattle,WA,98104,E,,,GPS,47.610087,-122.322114,,
Bedrooms & More,Seattle,WA,98105,E,,P,200-9,47.66159,-122.324877,SHOPPING_CENTER,False
SAFECO PLAZA SAFECO PLAZA #1,Seattle,WA,98154,E,,,GPS,47.606106,-122.333782,,
PSS CHARGEPOINT PSS #2 NORTH,Seattle,WA,98144,T,2023-06-01,,GPS,47.595546,-122.31163,,
PSS CHARGEPOINT PSS #1,Seattle,WA,98144,T,2023-06-13,,GPS,47.595392,-122.311507,,
DUAL EV SOUTH 1,Seattle,WA,98105,E,,,GPS,47.661471,-122.299298,,
KING COUNTY DES KSC STATION #5,Seattle,WA,98104,E,,,GPS,47.599,-122.330804,,
RPNW PSP-COBB #2,Seattle,WA,98101,T,2022-09-09,,GPS,47.60872,-122.336023,,
400 DEXTER AVE 400 DEXTER 1,Seattle,WA,98109,E,,,GPS,47.622264,-122.342164,,
RPNW IBM #1,Seattle,WA,98101,T,2022-09-09,,GPS,47.608495,-122.333054,,
DUAL EV SOUTH 2,Seattle,WA,98105,E,,,GPS,47.661361,-122.298284,,
RPNW FC #1,Seattle,WA,98101,T,2022-09-09,,GPS,47.608017,-122.335273,,
First Hill Medical Building,Seattle,WA,98104,T,2024-04-04,,GPS,47.60636,-122.321639,,
520 Pike Tower,Seattle,WA,98101,E,,,GPS,47.611102,-122.334893,,
Lake Union Building,Seattle,WA,98109,E,,,GPS,47.633992,-122.339684,,
Seattle-Tacoma International Airport - Terminal Direct Parking,Seattle,WA,98188,E,,P,200-8,47.443363,-122.296428,AIRPORT,False
1101 WESTLAKE FB WESTLAKE 2,Seattle,WA,98109,E,,,GPS,47.6289,-122.341536,,
AMLI MARK 24 MARK 24 1,Seattle,WA,98107,T,2023-08-06,,GPS,47.668955,-122.388808,,
DC CORRIDOR PAC SCI L2,Seattle,WA,98109,E,,,GPS,47.619056,-122.352371,,
BMGF BMGF EV 02,Seattle,WA,98109,E,,,GPS,47.623424,-122.345872,,
INSIGNIA 953 215 216,Seattle,WA,98121,E,,,GPS,47.616992,-122.343984,,
Thompson Seattle - Tesla Destination,Seattle,WA,98101,E,,P,200-8,47.610335,-122.341261,HOTEL,
Hotel 1000 - Tesla Destination,Seattle,WA,98104,E,,P,200-9,47.6049041,-122.3361893,HOTEL,
Motif Seattle - Tesla Destination,Seattle,WA,98101,E,,P,200-9,47.610166,-122.335179,HOTEL,
Hotel Theodore - Tesla Destination,Seattle,WA,98101,E,,P,200-9,47.612347,-122.334168,HOTEL,
Cedarbrook Lodge - Tesla Destination,Seattle,WA,98188,E,,P,200-9,47.4373126,-122.2876227,HOTEL,
Seattle Marriott Waterfront - Tesla Destination,Seattle,WA,98121,E,,P,200-9,47.610845,-122.347258,HOTEL,
Bedrooms & More - Tesla Destination,Seattle,WA,98105,E,,P,200-9,47.661523,-122.324913,SHOPPING_CENTER,
400 Fairview - Tesla Destination,Seattle,WA,98109,E,,P,200-9,47.622544,-122.333913,OFFICE_BLDG,
The Fairmont Olympic Hotel - Tesla Destination,Seattle,WA,98101,E,,P,200-8,47.608043,-122.334072,HOTEL,
